#                  name    selected    formation_energy
    SCEL8_4_2_1_1_2_0/2           1         -0.07576478
    SCEL8_4_2_1_1_2_0/3           1         -0.10829633
    SCEL8_4_2_1_1_2_0/4           1         -0.09001154
    SCEL8_4_2_1_1_2_0/5           1         -0.04175448
    SCEL8_4_2_1_1_2_0/6           1         -0.04928290
    SCEL8_4_2_1_1_2_0/7           1         -0.09928524
    SCEL8_4_2_1_1_2_0/8           1         -0.02675647
    SCEL8_4_2_1_1_2_0/9           1         -0.05410341
    SCEL8_4_2_1_1_2_0/10          1         -0.02382511
    SCEL8_4_2_1_1_2_0/11          1         -0.05251337
    SCEL8_4_2_1_1_2_0/12          1         -0.05390668
    SCEL8_4_2_1_1_2_0/13          1         -0.03956613
    SCEL8_4_2_1_1_2_0/14          1         -0.02001352
    SCEL8_4_2_1_1_2_0/15          1         -0.00581313
    SCEL8_4_2_1_1_2_0/16          1         -0.05099976
    SCEL8_4_2_1_1_2_0/17          1         -0.00037664
    SCEL8_4_2_1_1_3_1/0           1         -0.05497019
    SCEL8_4_2_1_1_3_1/1           1         -0.09240085
    SCEL8_4_2_1_1_3_1/2           1         -0.04228890
    SCEL8_4_2_1_1_3_1/3           1         -0.08358165
    SCEL8_4_2_1_1_3_1/4           1         -0.05636415
    SCEL8_4_2_1_1_3_1/5           1         -0.05301198
    SCEL8_4_2_1_1_3_1/6           1         -0.08199200
    SCEL8_4_2_1_1_3_1/7           1         -0.02213884
    SCEL8_4_2_1_1_3_1/8           1         -0.03601404
    SCEL8_4_2_1_1_3_1/9           1         -0.03890077
    SCEL8_4_2_1_1_3_1/10          1         -0.02213013
    SCEL8_4_2_1_1_3_1/11          1         -0.07633991
    SCEL8_4_2_1_1_3_1/12          1         -0.03657605
    SCEL8_4_2_1_1_3_1/13          1         -0.01503242
    SCEL8_4_2_1_1_3_1/14          1         -0.01319292
    SCEL8_4_2_1_1_3_1/15          1         -0.04638536
    SCEL8_4_2_1_1_3_1/16          1         -0.04164957
    SCEL8_4_2_1_1_3_1/17          1         -0.01668630
    SCEL8_4_2_1_1_3_2/0           1         -0.03075906
    SCEL8_4_2_1_1_3_2/1           1         -0.05631716
